Nome do alimento,Nível 1,Nível 2,Nível 3,Energia [kcal],Energia [kJ],Lípidos [g],Ácidos gordos saturados [g],Ácidos gordos monoinsaturados  [g],Ácidos gordos polinsaturados  [g],Ácido linoleico  [g],Ácidos gordos trans  [g],Hidratos de carbono  [g],Açúcares  [g],Oligossacáridos  [g],Amido  [g],Fibra   [g],Proteínas  [g],Sal   [g],Álcool  [g],Água  [g],Ácidos orgânicos  [g],Colesterol  [mg],Vitamina A   [µg],Caroteno  [µg],Vitamina D  [µg],alfa-tocoferol  [mg],Tiamina  [mg],Riboflavina  [mg],Niacina  [mg],Equivalentes de niacina  [mg],Triptofano/60  [mg],Vitamina B6  [mg],Vitamina B12  [µg],Vitamina C  [mg],Folatos  [µg],Cinza  [g],Sódio  [mg],Potássio  [mg],Cálcio  [mg],Fósforo  [mg],Magnésio  [mg],Ferro  [mg],Zinco  [mg],Selénio  [µg],Iodo  [µg]
Abacate,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,"Frutos diversos com casca não comestível, grandes",176,726,17.4,4.2,10.0,2.3,1.1,0.0,2.3,2.3,0.0,0.0,3.0,1.1,0.0,0.0,71.5,0.0,0.0,5.0,32.0,0.0,2.1,0.1,0.17,1.1,1.3,1.1,0.3,0.0,3.0,11.0,0.75,15.0,330.0,4.0,36.0,21.0,0.3,0.3,,
Abóbora cristalizada,Produtos hortícolas e derivados,Produtos hortícolas transformados ou em conserva e produtos similares,Produtos hortícolas cristalizados ou conservados com açúcar,293,1240,0.2,0.1,0.0,0.0,0.0,0.0,72.4,72.4,0.0,0.0,0.7,0.0,0.1,0.0,26.4,0.0,0.0,45.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,27.0,22.0,28.0,2.0,3.0,0.4,0.1,,
Abóbora crua,Produtos hortícolas e derivados,Frutos de hortícolas,Frutos vegetais de cucurbitáceas,11,47,0.2,0.1,0.0,0.0,0.0,0.0,1.7,1.4,0.0,0.3,0.7,0.3,0.0,0.0,96.6,0.0,0.0,160.0,962.0,0.0,1.0,0.01,0.01,0.6,0.6,0.0,0.04,0.0,12.0,8.0,0.4,1.0,200.0,25.0,5.0,5.0,0.1,0.1,,
Açafrão,"Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias",Especiarias,"Flores ou partes de flores, utilizadas como especiarias ou similares",353,1490,5.9,1.6,0.4,2.1,2.0,0.0,61.5,42.4,0.0,17.4,3.9,11.4,0.4,0.0,11.9,0.0,0.0,53.0,318.0,0.0,1.69,0.12,0.27,1.5,2.2,0.7,1.3,0.0,0.0,0.0,3.0,150.0,1720.0,110.0,250.0,50.0,11.0,1.1,,
Açafrão-da-índia seco,"Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias",Especiarias,Especiaria de de raízes e tubérculos,312,1300,7.0,2.9,0.6,2.9,2.7,0.0,44.1,44.1,0.0,0.0,22.7,6.7,0.1,0.0,9.9,0.0,0.0,3.0,15.0,0.0,5.0,0.09,0.11,3.7,6.2,2.5,0.0,0.0,0.0,0.0,7.08,31.0,2910.0,170.0,290.0,190.0,40.0,3.2,,
Acelga crua,Produtos hortícolas e derivados,Hortícolas folhosos,Folhas do tipo espinafre,23,97,0.2,0.0,0.0,0.1,0.0,0.0,2.7,0.6,0.0,2.1,1.6,1.8,0.5,0.0,92.7,0.0,0.0,766.0,4600.0,0.0,0.6,0.04,0.09,0.4,0.69,0.29,0.1,0.0,30.0,89.5,1.6,210.0,380.0,51.0,46.0,81.0,1.8,0.4,,
Açúcar amarelo,"Açúcar e similares, confeitaria e sobremesas doces à base de água",Açúcar e outros adoçantes (excluindo os adoçantes intensivos),Açúcares (mono e dissacarídeos),390,1660,0.0,0.0,0.0,0.0,0.0,0.0,97.5,97.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,18.0,53.0,40.0,7.0,7.0,0.9,0.1,,
Açúcar branco,"Açúcar e similares, confeitaria e sobremesas doces à base de água",Açúcar e outros adoçantes (excluindo os adoçantes intensivos),Açúcares (mono e dissacarídeos),397,1690,0.0,0.0,0.0,0.0,0.0,0.0,99.3,99.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,
Agrião cru,Produtos hortícolas e derivados,Hortícolas folhosos,Agriões e similares-,29,122,0.9,0.3,0.1,0.4,0.1,0.0,0.4,0.4,0.0,0.0,3.0,3.4,0.1,0.0,91.2,0.0,0.0,325.0,1950.0,0.0,1.5,0.09,0.07,0.6,1.1,0.5,0.23,0.0,77.0,200.0,1.15,49.0,230.0,200.0,56.0,15.0,1.7,0.2,,
"Água mineral natural gaseificada, Água Castello",Água e bebidas à base de água,Água potável,Água engarrafada,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,4.0,0.1,9.1,0.0,3.0,0.0,0.0,,
"Água mineral natural gaseificada, Vimeiro",Água e bebidas à base de água,Água potável,Água engarrafada,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,17.0,0.6,12.0,0.0,4.0,0.0,0.0,,
"Água mineral natural gasocarbónica, Pedras Salgadas",Água e bebidas à base de água,Água potável,Água engarrafada,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,64.0,2.0,19.0,0.0,2.0,0.5,0.1,,
"Água mineral natural, Luso",Água e bebidas à base de água,Água potável,Água engarrafada,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.2,0.0,0.1,0.0,0.1,,
"Água, rede pública de abastecimento (Lisboa)",Água e bebidas à base de água,Água potável,Água não engarrafada,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,2.0,0.2,4.0,0.0,0.5,0.0,0.1,,
Aguardente,Bebidas alcoólicas,Bebidas espirituosas não açucaradas e licores,Bebidas espirituosas não açucaradas,308,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,55.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aipo cru,Produtos hortícolas e derivados,Ervas e flores comestíveis,Ervas aromáticas,15,64,0.1,0.0,0.0,0.1,0.1,0.0,1.5,1.5,0.0,0.0,2.0,1.1,0.3,0.0,94.4,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.04,0.3,0.4,0.1,0.07,0.0,8.0,16.0,0.94,100.0,300.0,55.0,32.0,13.0,0.6,0.1,,
Alcachofra cozida,Produtos hortícolas e derivados,Caules e hastes de vegetais,Alcachofras e similatres,46,193,0.2,0.0,0.0,0.1,0.1,0.0,5.3,2.1,0.0,3.2,5.6,3.0,0.4,0.0,85.1,0.0,0.0,20.0,120.0,0.0,0.2,0.06,0.02,0.5,1.1,0.6,0.09,0.0,6.0,42.0,0.85,170.0,200.0,42.0,90.0,33.0,0.8,0.5,,
Alcachofra crua,Produtos hortícolas e derivados,Caules e hastes de vegetais,Alcachofras e similatres,51,214,0.2,0.0,0.0,0.1,0.1,0.0,6.8,2.7,0.0,4.1,5.0,3.0,0.2,0.0,83.7,0.0,0.0,20.0,120.0,0.0,0.2,0.08,0.03,0.8,1.3,0.5,0.1,0.0,9.0,74.0,0.85,84.0,350.0,40.0,90.0,49.0,1.0,0.5,,
Alcaparras (picles),Produtos hortícolas e derivados,Produtos hortícolas transformados ou em conserva e produtos similares,Hortícolas fermentados ou em conserva,44,183,0.9,0.2,0.1,0.3,0.1,0.0,4.9,0.4,0.0,4.5,3.2,2.4,7.4,0.0,83.8,0.0,0.0,14.0,83.0,0.0,0.9,0.02,0.14,0.7,1.2,0.5,0.02,0.0,4.0,74.0,3.08,2960.0,40.0,40.0,10.0,33.0,1.7,0.3,1.0,
Alecrim fresco,Produtos hortícolas e derivados,Ervas e flores comestíveis,Ervas aromáticas,115,478,4.4,1.1,0.3,2.3,2.2,0.0,13.5,13.5,0.0,0.0,7.7,1.4,0.0,0.0,73.6,0.0,0.0,92.0,550.0,0.0,1.5,0.1,0.21,1.0,1.3,0.3,0.09,0.0,29.0,0.0,3.0,15.0,280.0,370.0,20.0,40.0,8.5,0.9,,
"Alecrim, seco","Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias",Especiarias,Ervas secas,377,1580,15.2,3.9,1.0,7.8,7.5,0.0,46.4,46.4,0.0,0.0,17.7,4.9,0.1,0.0,9.3,0.0,0.0,313.0,1876.0,0.0,9.15,0.1,0.32,1.0,1.2,0.2,0.38,0.0,0.0,0.0,3.0,50.0,950.0,1280.0,70.0,120.0,29.0,3.2,,
Alface,Produtos hortícolas e derivados,Hortícolas folhosos,Alfaces e outros vegetais para salada,15,62,0.2,0.0,0.0,0.1,0.0,0.0,0.8,0.8,0.0,0.0,1.3,1.8,0.0,0.0,95.9,0.0,0.0,115.0,688.0,0.0,0.6,0.06,0.02,0.4,0.5,0.1,0.04,0.0,4.0,55.0,0.65,3.0,310.0,70.0,46.0,22.0,1.5,0.4,,2.2
Alface roxa,Produtos hortícolas e derivados,Hortícolas folhosos,Alfaces e outros vegetais para salada,15,61,0.2,0.0,0.0,0.1,0.0,0.0,1.4,0.5,0.0,0.0,0.9,1.3,0.1,0.0,95.6,0.0,0.0,751.0,4495.0,0.0,0.15,0.06,0.08,0.32,0.42,0.1,0.1,0.0,3.7,36.0,0.55,25.0,190.0,33.0,28.0,12.0,1.2,0.2,1.5,2.5
Alho cru,Produtos hortícolas e derivados,Bolbos,Alho e similares,72,303,0.6,0.1,0.0,0.3,0.3,0.0,11.3,1.3,0.0,10.0,3.0,3.8,0.0,0.0,79.8,0.0,0.0,0.0,0.0,0.0,0.01,0.21,0.02,0.6,1.4,0.8,0.38,0.0,17.0,3.0,1.0,10.0,350.0,17.0,86.0,17.0,0.8,0.7,,
Alho em pó,Produtos hortícolas e derivados,Produtos hortícolas transformados ou em conserva e produtos similares,Horticolas secos,310,1310,1.2,0.2,0.0,0.6,0.6,0.0,52.3,6.0,0.0,46.3,10.0,17.6,0.1,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.03,0.47,0.09,0.7,4.5,3.8,0.99,0.0,0.0,0.0,3.3,23.0,1230.0,73.0,320.0,60.0,3.3,2.6,,
Alho-francês cru,Produtos hortícolas e derivados,Caules e hastes de vegetais,Alhos francês e similares,26,110,0.3,0.1,0.0,0.2,0.1,0.0,2.9,2.2,0.4,0.3,2.4,1.8,0.0,0.0,91.0,0.0,0.0,124.0,745.0,0.0,0.67,0.29,0.05,0.4,0.6,0.2,0.48,0.0,20.0,87.0,0.86,4.0,240.0,24.0,44.0,11.0,1.0,0.2,,
Ameixa branca,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,Frutos de caroço,40,171,0.2,0.0,0.1,0.1,0.1,0.0,7.8,7.8,0.0,0.0,1.6,0.6,0.1,0.0,89.0,0.6,0.0,107.0,640.0,0.0,0.61,0.02,0.06,0.6,0.7,0.1,0.05,0.0,2.0,3.0,0.36,52.0,140.0,3.0,12.0,5.0,0.1,0.1,,
Ameixa encarnada,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,Frutos de caroço,41,172,0.2,0.0,0.1,0.1,0.1,0.0,7.4,7.4,0.0,0.0,1.9,0.8,0.0,0.0,88.0,0.8,0.0,70.0,420.0,0.0,0.6,0.02,0.08,0.5,0.6,0.1,0.05,0.0,2.0,6.0,0.31,2.0,190.0,13.0,13.0,7.0,0.2,0.0,,
Ameixa rainha Cláudia,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,Frutos de caroço,57,242,0.1,0.0,0.1,0.0,0.0,0.0,11.8,11.8,0.0,0.0,2.3,0.8,0.0,0.0,82.0,0.4,0.0,16.0,95.0,0.0,0.6,0.05,0.04,0.6,0.7,0.1,0.05,0.0,5.0,3.0,0.6,1.0,280.0,15.0,23.0,8.0,0.4,0.1,,
Ameixa seca,Frutos e produtos derivados de frutos,Produtos de frutos processados,Frutos secados,198,834,0.3,0.0,0.2,0.1,0.0,0.0,37.8,37.8,0.0,0.0,15.6,2.9,0.0,0.0,40.0,0.5,0.0,119.0,715.0,0.0,2.3,0.04,0.08,1.0,1.2,0.2,0.13,0.0,1.0,4.0,2.1,12.0,830.0,38.0,68.0,26.0,3.0,0.6,,
"Ameixa, conserva em calda de açúcar",Frutos e produtos derivados de frutos,Produtos de frutos processados,Outros frutos processados (excluindo bebidas),115,486,0.2,0.0,0.1,0.1,0.1,0.0,27.5,27.5,0.0,0.0,1.0,0.2,0.0,0.0,71.0,0.0,0.0,80.0,480.0,0.0,0.25,0.03,0.03,0.3,0.3,0.0,0.03,0.0,1.0,0.0,0.25,6.0,95.0,11.0,6.0,5.0,0.3,0.1,,
"Amêndoa, miolo, com pele","Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias","Frutos de casca rija, sementes oleaginosas e frutos oleaginosos",Frutos de casca rija,643,2660,56.0,4.7,34.5,14.3,13.9,0.0,7.2,4.6,0.0,2.6,12.0,21.6,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,24.0,0.21,0.75,2.2,5.7,3.5,0.15,0.0,1.0,49.0,3.0,6.0,860.0,270.0,410.0,260.0,4.0,3.1,,
"Amêndoa, miolo, torrada, sem pele","Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias","Frutos de casca rija, sementes oleaginosas e frutos oleaginosos",Frutos de casca rija,650,2690,56.8,4.7,35.1,14.5,14.1,0.0,7.1,5.0,0.0,2.1,12.2,21.6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,0.13,0.57,2.1,5.6,3.5,0.09,0.0,0.0,37.0,3.0,6.0,870.0,270.0,410.0,260.0,4.1,3.2,,
"Amendoim, miolo","Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias","Frutos de casca rija, sementes oleaginosas e frutos oleaginosos",Sementes oleaginosas,589,2440,47.7,8.5,21.8,14.8,14.3,0.0,10.1,4.8,0.0,5.3,8.8,25.4,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,9.9,0.9,0.13,15.0,20.0,5.5,0.44,0.0,0.0,110.0,2.6,7.0,680.0,62.0,380.0,180.0,2.2,3.2,,
"Amendoim, miolo, torrado com sal","Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias","Frutos de casca rija, sementes oleaginosas e frutos oleaginosos",Sementes oleaginosas,614,2540,51.8,9.2,23.7,16.1,15.5,0.0,6.6,3.6,0.0,3.0,8.3,26.2,1.1,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.66,0.22,0.13,14.0,19.0,5.2,0.47,0.0,0.0,52.0,3.6,420.0,820.0,35.0,360.0,160.0,1.2,2.7,,
"Amendoim, miolo, torrado sem sal","Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias","Frutos de casca rija, sementes oleaginosas e frutos oleaginosos",Sementes oleaginosas,605,2500,49.6,8.8,22.7,15.4,14.8,0.0,9.5,4.5,0.0,5.0,8.9,25.6,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.1,0.22,0.13,14.0,20.0,5.5,0.47,0.0,0.0,66.0,3.6,6.0,740.0,57.0,370.0,170.0,2.1,3.0,,
Amora,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,Bagas e frutos pequenos,43,179,0.9,0.0,0.0,0.3,0.2,0.0,4.5,4.2,0.0,0.0,4.6,1.4,0.0,0.0,88.0,0.9,0.0,27.0,164.0,0.0,4.42,0.02,0.04,0.54,0.74,0.2,0.05,0.0,16.5,25.0,0.395,1.8,240.0,28.0,33.0,22.0,0.6,0.5,0.1,0.4
Ananás,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,"Frutos diversos com casca não comestível, grandes",47,201,0.2,0.0,0.1,0.1,0.1,0.0,9.5,9.5,0.0,0.0,1.2,0.5,0.0,0.0,87.6,1.1,0.0,3.0,20.0,0.0,0.1,0.04,0.03,0.6,0.7,0.1,0.09,0.0,16.0,5.0,0.2,2.0,160.0,18.0,7.0,13.0,0.3,0.1,,3.7
Ananás desidratado,Frutos e produtos derivados de frutos,Produtos de frutos processados,Frutos secados,363,1540,1.5,0.0,0.8,0.8,0.8,0.0,72.8,72.8,0.0,0.0,9.2,3.8,0.0,0.0,5.0,8.2,0.0,,,0.0,0.77,,0.23,4.6,5.36,0.77,0.69,0.0,,38.3,1.53,15.0,1230.0,140.0,54.0,100.0,2.3,0.8,,
"Ananás, conserva em calda de açúcar",Frutos e produtos derivados de frutos,Produtos de frutos processados,Outros frutos processados (excluindo bebidas),98,417,0.1,0.0,0.1,0.0,0.0,0.0,23.2,23.2,0.0,0.0,1.0,0.2,0.0,0.0,74.9,0.6,0.0,2.0,11.0,0.0,0.06,0.03,0.02,0.2,0.2,0.0,0.08,0.0,7.0,1.0,0.34,2.0,110.0,17.0,5.0,11.0,0.3,0.1,,3.6
Anona,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,"Frutos diversos com casca não comestível, grandes",82,349,0.4,0.0,0.2,0.1,0.1,0.0,16.8,14.8,0.0,2.0,2.4,1.7,0.0,0.0,77.7,0.0,0.0,1.0,6.0,0.0,0.1,0.1,0.11,0.9,1.0,0.1,0.2,0.0,17.0,5.0,0.55,11.0,240.0,6.0,31.0,23.0,0.3,0.2,,
Anona desidratada,Frutos e produtos derivados de frutos,Produtos de frutos processados,Frutos secados,351,1480,1.7,0.0,0.9,0.4,0.4,0.0,71.6,63.0,0.0,8.5,10.2,7.2,0.1,0.0,5.0,0.0,0.0,,,0.0,0.43,,0.47,3.83,4.26,0.43,0.85,0.0,,21.3,2.34,47.0,1000.0,26.0,130.0,98.0,1.3,0.9,,
Arroz agulha cru,Cereais e produtos à base de cereais,Cereais e seus derivados primários,Grãos de cereais (e grãos semelhantes a cereais),347,1470,0.4,0.1,0.1,0.1,0.1,0.0,78.1,0.0,0.0,78.1,2.1,6.7,0.0,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.03,2.0,3.4,1.4,0.29,0.0,0.0,19.0,0.5,6.0,94.0,13.0,87.0,32.0,0.6,1.3,,
Arroz carolino branqueado cru,Cereais e produtos à base de cereais,Cereais e seus derivados primários,Grãos de cereais (e grãos semelhantes a cereais),357,1520,0.5,0.1,0.1,0.2,0.2,0.0,79.6,0.0,0.0,79.6,2.2,7.4,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.03,2.0,3.6,1.6,0.3,0.0,0.0,20.0,1.0,6.0,110.0,11.0,92.0,13.0,0.6,1.3,,
Arroz cozido simples,Cereais e produtos à base de cereais,Cereais e seus derivados primários,Grãos de cereais (e grãos semelhantes a cereais),125,532,0.2,0.0,0.1,0.1,0.0,0.0,28.0,0.0,0.0,28.0,0.8,2.5,0.8,0.0,68.4,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.6,1.1,0.5,0.08,0.0,0.0,5.8,0.9,310.0,36.0,7.0,33.0,15.0,0.2,0.6,,0.6
Arroz de cenoura com azeite,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)",Pratos à base de massas alimentícias e arroz (ou outro cereal),127,533,4.2,0.6,3.2,0.3,0.286,0.0,19.9,0.9,0.1,19.0,1.1,1.8,0.7,0.0,72.5,0.0,0.0,143.0,859.0,0.0,0.7,0.02,0.01,0.54,1.06,0.37,0.07,0.0,0.8,6.9,0.925,270.0,67.0,13.0,28.0,12.0,0.3,0.3,,
Arroz de ervilhas,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)",Pratos à base de massas alimentícias e arroz (ou outro cereal),85,361,0.2,0.1,0.1,0.1,0.0796,0.0,18.0,0.2,0.2,17.6,1.0,2.3,0.3,0.0,78.3,0.0,0.0,6.0,35.0,0.0,0.05,0.1,0.01,0.59,1.02,0.44,0.08,0.0,2.4,12.0,0.521,120.0,66.0,8.5,35.0,10.0,0.4,0.4,,
Arroz de feijão,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)",Pratos à base de massas alimentícias e arroz (ou outro cereal),139,584,4.4,0.6,3.3,0.4,0.328,0.0,20.8,0.4,0.4,20.0,1.9,3.1,0.4,0.0,69.4,0.0,0.0,0.0,1.0,0.0,0.66,0.05,0.02,0.65,1.2,0.55,0.1,0.0,0.8,14.0,0.878,180.0,120.0,15.0,50.0,19.0,0.7,0.5,,
Arroz de manteiga,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)",Pratos à base de massas alimentícias e arroz (ou outro cereal),265,1110,7.7,4.3,1.8,0.3,0.239,0.3,44.4,0.1,0.0,44.4,1.2,3.8,0.9,0.0,42.7,0.0,21.0,51.0,4.0,0.1,0.24,0.02,0.01,0.91,1.93,0.8,0.1,0.0,0.0,7.6,1.2,370.0,43.0,8.7,50.0,21.0,0.4,0.7,,
Arroz de tomate com azeite,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)",Pratos à base de massas alimentícias e arroz (ou outro cereal),129,541,4.2,0.6,3.1,0.4,0.359,0.0,20.1,1.7,0.1,18.4,1.2,2.0,0.7,0.0,71.8,0.0,0.0,36.0,216.0,0.0,1.09,0.03,0.01,0.58,1.17,0.39,0.1,0.0,5.1,7.7,1.04,260.0,80.0,11.0,30.0,13.0,0.4,0.4,,
Arroz de tomate com margarina,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)",Pratos à base de massas alimentícias e arroz (ou outro cereal),122,513,3.4,1.6,0.7,1.0,0.903,0.0,20.2,1.7,0.1,18.4,1.2,2.0,0.8,0.0,72.5,0.0,0.0,59.0,231.0,0.0,0.55,0.03,0.01,0.58,1.17,0.39,0.1,0.0,5.1,7.7,1.16,300.0,80.0,11.0,30.0,13.0,0.4,0.4,,
Arroz de tomate malandrinho,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)",Pratos à base de massas alimentícias e arroz (ou outro cereal),132,553,6.0,0.9,4.6,0.5,0.48,0.0,16.8,1.5,0.1,15.2,1.2,1.9,0.8,0.0,72.6,0.3,0.0,45.0,269.0,0.0,1.35,0.06,0.02,0.68,1.06,0.37,0.14,0.0,17.7,17.0,1.3,320.0,160.0,18.0,31.0,12.0,0.5,0.4,,
Arroz integral cru,Cereais e produtos à base de cereais,Cereais e seus derivados primários,Grãos de cereais (e grãos semelhantes a cereais),351,1490,2.5,0.5,0.6,0.9,0.8,0.0,71.6,0.0,0.0,71.6,3.8,8.6,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.1,4.1,6.0,1.9,0.6,0.0,0.0,55.0,1.3,3.0,250.0,9.0,270.0,110.0,1.7,1.4,,
"Avelã, miolo","Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias","Frutos de casca rija, sementes oleaginosas e frutos oleaginosos",Frutos de casca rija,689,2840,66.3,4.9,52.2,6.2,6.1,0.0,6.0,3.9,0.0,2.1,6.1,14.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,25.0,0.3,0.16,1.8,5.2,3.4,0.59,0.0,0.0,73.0,2.45,2.0,730.0,250.0,270.0,160.0,3.0,2.0,,
Azeite (4 marcas),Óleos e gorduras de origem animal e vegetal e seus derivados,Óleos e gorduras de origem animal e vegetal,"Óleos e gorduras de origem vegetal, edíveis",899,3700,99.9,14.4,78.6,6.9,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Azeitona,Frutos e produtos derivados de frutos,Produtos de frutos processados,Outros frutos processados (excluindo bebidas),180,740,18.5,2.9,9.6,2.2,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.4,5.3,0.0,71.9,0.0,0.0,39.0,236.0,0.0,2.0,0.02,0.07,0.5,0.7,0.2,0.02,0.0,0.0,0.0,5.1,2100.0,60.0,54.0,14.0,22.0,1.6,0.2,,4.1
Bagas goji secas,Produtos hortícolas e derivados,Frutos de hortícolas,Solanaceas,303,1280,2.8,0.4,0.6,1.7,1.6,0.0,51.8,39.6,0.0,12.2,12.8,11.2,1.0,0.0,16.5,0.0,0.0,4.0,27.0,0.0,2.1,0.0,0.13,0.76,3.79,3.03,0.16,0.0,4.5,0.0,4.95,420.0,1410.0,48.0,180.0,72.0,4.2,1.1,,
Banana,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,"Frutos diversos com casca não comestível, grandes",104,441,0.4,0.1,0.0,0.1,0.0,0.0,21.8,19.6,0.0,2.2,3.1,1.6,0.0,0.0,72.1,0.3,0.0,4.0,21.0,0.0,0.27,0.06,0.07,0.7,1.0,0.3,0.29,0.0,10.0,14.0,0.89,6.0,430.0,8.0,25.0,28.0,0.4,0.2,,3.8
Banha de porco,Óleos e gorduras de origem animal e vegetal e seus derivados,Óleos e gorduras de origem animal e vegetal,Óleos e gorduras de origem animal (gorduras processadas a partir de tecidos animais),896,3680,99.5,26.3,58.6,10.4,9.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,82.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,1.0,1.0,3.0,2.0,0.1,0.1,,
Base em pó para bebida de ananás,Água e bebidas à base de água,Bebidas concentradas,Misturas de bebidas,369,1570,0.0,0.0,0.0,0.0,0.0,0.0,89.5,89.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Base em pó para bebida de laranja,Água e bebidas à base de água,Bebidas concentradas,Misturas de bebidas,375,1590,0.0,0.0,0.0,0.0,0.0,0.0,88.9,88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.7,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
