Nome do alimento,Nível 1,Nível 2,Nível 3,Energia [kcal],Energia [kJ],Lípidos [g],Ácidos gordos saturados [g],Ácidos gordos monoinsaturados  [g],Ácidos gordos polinsaturados  [g],Ácido linoleico  [g],Ácidos gordos trans  [g],Hidratos de carbono  [g],Açúcares  [g],Oligossacáridos  [g],Amido  [g],Fibra   [g],Proteínas  [g],Sal   [g],Álcool  [g],Água  [g],Ácidos orgânicos  [g],Colesterol  [mg],Vitamina A   [µg],Caroteno  [µg],Vitamina D  [µg],alfa-tocoferol  [mg],Tiamina  [mg],Riboflavina  [mg],Niacina  [mg],Equivalentes de niacina  [mg],Triptofano/60  [mg],Vitamina B6  [mg],Vitamina B12  [µg],Vitamina C  [mg],Folatos  [µg],Cinza  [g],Sódio  [mg],Potássio  [mg],Cálcio  [mg],Fósforo  [mg],Magnésio  [mg],Ferro  [mg],Zinco  [mg],Selénio  [µg],Iodo  [µg]
Sopa de tomate,Pratos compostos,Sopas e saladas,Sopas (prontas a comer),31,129,0.8,0.3,0.2,0.1,0.11,0.0,4.4,2.3,0.1,2.1,0.7,1.1,0.6,0.0,91.9,0.0,8.0,34.0,161.0,0.0,0.46,0.06,0.03,0.42,0.64,0.22,0.12,0.02,8.7,12.0,1.02,250.0,170.0,18.0,22.0,9.0,0.3,0.2,,
"Sopa, caldo verde",Pratos compostos,Sopas e saladas,Sopas (prontas a comer),43,182,1.7,0.3,1.1,0.2,0.159,0.0,5.3,0.7,0.0,4.6,0.8,1.3,0.7,0.0,89.7,0.0,1.0,50.0,299.0,0.0,0.22,0.07,0.02,0.45,0.86,0.23,0.1,0.02,12.0,11.0,1.22,260.0,110.0,39.0,19.0,6.8,0.2,0.2,,
"Sopa, canja de galinha",Pratos compostos,Sopas e saladas,Sopas (prontas a comer),40,168,0.9,0.2,0.3,0.2,0.177,0.0,5.8,0.1,0.1,5.6,0.2,2.0,0.6,0.0,90.4,0.0,6.0,1.0,0.0,0.0,0.03,0.01,0.02,0.49,1.14,0.36,0.04,0.02,0.2,1.8,0.764,230.0,21.0,6.2,17.0,6.0,0.1,0.2,,
"Biscoitos, línguas de gato",Cereais e produtos à base de cereais,Produtos de pastelaria fina,Biscoitos/bolachas,377,1600,1.8,0.7,0.6,0.3,0.3,0.1,84.1,37.5,0.0,46.6,1.8,5.2,0.1,0.0,6.3,0.0,4.0,14.0,0.0,0.0,0.24,0.28,0.1,0.6,1.7,1.1,0.05,0.03,0.0,8.8,0.8,52.0,120.0,24.0,85.0,17.0,1.9,0.3,,
Creme de ervilhas,Pratos compostos,Sopas e saladas,Sopas (prontas a comer),43,178,1.9,0.8,0.5,0.5,0.444,0.0,3.0,1.2,0.5,1.3,1.5,2.6,0.6,0.0,89.9,0.0,2.0,88.0,469.0,0.0,0.12,0.21,0.03,0.57,1.01,0.45,0.07,0.03,6.0,19.0,1.05,240.0,160.0,25.0,49.0,9.9,0.7,0.4,,
"Leite humano, transição",Leite e produtos lácteos,"Leite, soro de leite  e nata",Leite,66,276,3.7,1.5,1.5,0.5,0.3,0.0,6.6,6.6,0.0,0.0,0.0,1.6,0.1,0.0,86.9,0.0,24.0,117.0,32.0,0.0,0.53,0.02,0.03,0.2,0.8,0.6,0.0,0.03,6.0,6.0,0.3,38.0,68.0,24.0,20.0,4.0,0.1,0.1,,
"Massa folhada, congelada",Cereais e produtos à base de cereais,"Massa alimentícia, massas e produtos similares",Massas cruas e pré-preparadas,398,1650,27.5,10.3,10.4,4.7,4.25,0.0,31.8,0.2,0.0,31.6,1.4,5.0,0.0,0.0,33.3,0.0,0.0,310.0,0.0,2.4,2.72,0.19,0.08,1.87,2.7,0.83,0.17,0.03,0.0,10.2,1.0,3.5,61.0,13.0,59.0,9.5,3.1,0.4,,
Sopa de agrião com requeijão,Pratos compostos,Sopas e saladas,Sopas (prontas a comer),28,118,1.6,0.8,0.3,0.3,0.251,0.0,2.0,0.7,0.1,1.2,0.8,1.1,0.7,0.0,93.5,0.0,2.0,57.0,271.0,0.0,0.27,0.04,0.02,0.34,0.55,0.21,0.08,0.03,13.3,32.0,1.14,280.0,100.0,47.0,22.0,7.5,0.3,0.2,,
Salada russa,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",116,478,9.3,1.4,7.0,0.8,0.622,0.0,5.6,2.4,0.0,3.1,1.9,1.4,0.1,0.0,81.2,0.0,16.0,158.0,901.0,0.1,1.38,0.07,0.04,0.85,1.2,0.35,0.14,0.04,12.6,27.0,0.682,35.0,260.0,19.0,26.0,10.0,0.4,0.2,,
Sopa de carne de porco,Pratos compostos,Sopas e saladas,Sopas (prontas a comer),60,253,0.9,0.2,0.3,0.2,0.154,0.0,7.3,0.9,0.4,5.9,3.4,4.0,0.6,0.0,83.2,0.0,3.0,99.0,592.0,0.0,0.12,0.14,0.04,0.72,1.4,0.7,0.13,0.04,8.1,63.0,1.24,250.0,250.0,33.0,57.0,22.0,1.1,0.8,,
Bolo de bolacha Maria,Cereais e produtos à base de cereais,Produtos de pastelaria fina,Bolos,389,1630,20.7,11.2,5.1,1.1,0.971,0.7,46.3,27.1,0.0,19.1,0.8,3.9,0.8,0.0,27.5,0.0,76.0,117.0,9.0,0.2,1.03,0.25,0.2,0.74,1.62,0.88,0.05,0.05,0.0,8.1,0.966,310.0,73.0,20.0,63.0,12.0,0.6,0.3,,
Sopa de peixe com massa,Pratos compostos,Sopas e saladas,Sopas (prontas a comer),46,193,1.1,0.2,0.7,0.2,0.173,0.0,5.8,0.9,0.1,4.8,0.7,2.8,0.6,0.0,88.6,0.0,2.0,12.0,70.0,0.5,0.34,0.03,0.01,0.34,0.95,0.5,0.04,0.05,1.9,4.9,0.914,240.0,66.0,10.0,35.0,8.0,0.2,0.2,,
